n     t1             t2             gamma1    g1_       g1+       E         E_        E+        gamma2    g2_       g2+       A         A_        A+        chi2                dof                 
5     00:55:01.256   00:55:07.400   0.343     -         -         45.679    -         -         3.315     -         -         118.948   -         -         74.721              59                  
6     00:55:07.400   00:55:08.936   0.462     -         -         45.564    -         -         3.25      -         -         163.144   -         -         1779.385            122                 
7     00:55:08.936   00:55:13.032   0.393     -         -         46.007    -         -         3.279     -         -         169.377   -         -         2786.623            185                 
8     00:55:13.032   00:55:14.568   0.444     -         -         46.383    -         -         3.292     -         -         193.29    -         -         4464.44             248                 
9     00:55:14.568   00:55:15.080   0.59      -         -         48.222    -         -         3.43      -         -         237.206   -         -         6778.613            311                 
10    00:55:15.080   00:55:15.592   0.714     -         -         49.992    -         -         3.558     -         -         282.9     -         -         9587.124            374                 
11    00:55:15.592   00:55:16.104   0.737     -         -         50.185    -         -         3.563     -         -         298.865   -         -         11564.352           437                 
12    00:55:16.104   00:55:16.360   0.798     -         -         51.01     -         -         3.616     -         -         326.841   -         -         13812.307           500                 
13    00:55:16.360   00:55:16.616   0.858     -         -         51.924    -         -         3.679     -         -         356.475   -         -         16195.411           563                 
14    00:55:16.616   00:55:16.872   0.914     -         -         52.826    -         -         3.738     -         -         387.312   -         -         18084.197           626                 
15    00:55:16.872   00:55:17.128   0.956     -         -         53.518    -         -         3.78      -         -         412.86    -         -         20212.205           689                 
16    00:55:17.128   00:55:17.384   0.982     -         -         53.894    -         -         3.8       -         -         431.971   -         -         22203.081           752                 
17    00:55:17.384   00:55:17.640   1.002     -         -         54.186    -         -         3.815     -         -         448.69    -         -         23964.728           815                 
18    00:55:17.640   00:55:17.896   1.025     -         -         54.585    -         -         3.84      -         -         467.315   -         -         25889.272           878                 
19    00:55:17.896   00:55:18.152   1.052     -         -         54.788    -         -         3.82      -         -         488.49    -         -         28126.11            941                 
20    00:55:18.152   00:55:18.408   1.097     -         -         56.152    -         -         3.941     -         -         520.845   -         -         30802.602           1004                
21    00:55:18.408   00:55:18.664   1.116     -         -         56.353    -         -         3.922     -         -         538.655   -         -         32685.366           1067                
22    00:55:18.664   00:55:18.920   1.137     -         -         56.994    -         -         3.977     -         -         558.458   -         -         35100.336           1130                
23    00:55:18.920   00:55:19.176   1.137     -         -         57.057    -         -         3.992     -         -         563.947   -         -         36541.044           1193                
24    00:55:19.176   00:55:19.432   1.16      -         -         57.676    -         -         4.024     -         -         584.881   -         -         38876.704           1256                
25    00:55:19.432   00:55:19.688   1.178     -         -         58.399    -         -         4.093     -         -         602.997   -         -         41294.815           1319                
26    00:55:19.688   00:55:20.200   1.167     -         -         58.329    -         -         4.085     -         -         603.28    -         -         43333.211           1382                
27    00:55:20.200   00:55:20.712   1.156     -         -         58.235    -         -         4.068     -         -         603.406   -         -         44834.136           1445                
28    00:55:20.712   00:55:20.968   1.165     -         -         58.543    -         -         4.087     -         -         614.099   -         -         46584.273           1508                
