n     t1             t2             gamma1    g1_       g1+       E         E_        E+        gamma2    g2_       g2+       A         A_        A+        chi2                dof                 
5     00:55:01.256   00:55:07.400   2.767     -         -         52.174    -         -         3.554     -         -         57.85     -         -         47.875              59                  
6     00:55:07.400   00:55:08.936   1.086     -         -         18.516    -         -         3.288     -         -         36.441    -         -         1768.356            122                 
7     00:55:08.936   00:55:13.032   2.832     -         -         --        -         -         --        --        --        84.766    -         -         2709.785            185                 
8     00:55:13.032   00:55:14.568   2.903     -         -         --        -         -         --        --        --        100.096   -         -         4344.466            248                 
9     00:55:14.568   00:55:15.080   3.119     -         -         --        -         -         --        --        --        139.53    -         -         6535.348            311                 
10    00:55:15.080   00:55:15.592   3.214     -         -         158.771   -         -         5.814     -         -         165.632   -         -         9171.488            374                 
11    00:55:15.592   00:55:16.104   3.257     -         -         249.593   -         -         9.499     -         -         181.7     -         -         11045.361           437                 
12    00:55:16.104   00:55:16.360   3.259     -         -         252.459   -         -         9.5       -         -         184.554   -         -         13197.904           500                 
13    00:55:16.360   00:55:16.616   3.248     -         -         250.824   -         -         9.5       -         -         183.809   -         -         15466.756           563                 
14    00:55:16.616   00:55:16.872   3.252     -         -         251.216   -         -         9.5       -         -         187.397   -         -         17253.917           626                 
15    00:55:16.872   00:55:17.128   3.258     -         -         252.918   -         -         9.5       -         -         191.815   -         -         19298.93            689                 
16    00:55:17.128   00:55:17.384   3.262     -         -         254.408   -         -         9.5       -         -         195.378   -         -         21226.889           752                 
17    00:55:17.384   00:55:17.640   3.27      -         -         256.448   -         -         9.5       -         -         200.481   -         -         22930.682           815                 
18    00:55:17.640   00:55:17.896   3.269     -         -         257.138   -         -         9.5       -         -         202.599   -         -         24791.652           878                 
19    00:55:17.896   00:55:18.152   3.28      -         -         259.334   -         -         9.5       -         -         209.104   -         -         26957.243           941                 
20    00:55:18.152   00:55:18.408   3.279     -         -         254.62    -         -         9.5       -         -         210.795   -         -         29486.93            1004                
21    00:55:18.408   00:55:18.664   3.28      -         -         250.723   -         -         9.5       -         -         213.651   -         -         31318.428           1067                
22    00:55:18.664   00:55:18.920   3.291     -         -         253.5     -         -         9.5       -         -         220.036   -         -         33627.916           1130                
23    00:55:18.920   00:55:19.176   3.294     -         -         255.856   -         -         9.5       -         -         223.525   -         -         35014.308           1193                
24    00:55:19.176   00:55:19.432   3.286     -         -         250.603   -         -         9.5       -         -         223.013   -         -         37238.445           1256                
25    00:55:19.432   00:55:19.688   3.277     -         -         249.139   -         -         9.5       -         -         221.678   -         -         39535.326           1319                
26    00:55:19.688   00:55:20.200   3.274     -         -         250.215   -         -         9.5       -         -         224.498   -         -         41462.829           1382                
